,id,leagueId,time,statusId,tournamentStage,timeTS,tv,home.id,home.score,home.name,home.longName,away.id,away.score,away.name,away.longName,status.finished,status.started,status.cancelled,status.scoreStr,status.startDateStr,status.startDateStrShort,status.reason.short,status.reason.long,status.whoLostOnAggregated,status.aggregatedStr,status.startTimeStr
0,1883624,838440,07.03.2015 04:20,6,1,1425669600000,,6637,2,LA Galaxy,LA Galaxy,6397,0,Chicago,Chicago Fire,True,True,False,2 - 0,"Mar 6, 2015",6. Mar.,FT,Full-Time,,,
0,1883625,838440,07.03.2015 21:10,6,1,1425730200000,,6602,1,DC United,DC United,307692,0,Montreal Impact,Montreal Impact,True,True,False,1 - 0,"Mar 7, 2015",7. Mar.,FT,Full-Time,,,
1,1883631,838440,07.03.2015 22:05,6,1,1425733500000,,191716,0,Philadelphia,Philadelphia Union,8314,0,Colorado,Colorado Rapids,True,True,False,0 - 0,"Mar 7, 2015",7. Mar.,FT,Full-Time,,,
2,1883626,838440,08.03.2015 00:05,6,1,1425740700000,,307691,1,Vancouver,Vancouver Whitecaps,56453,3,Toronto,Toronto FC,True,True,False,1 - 3,"Mar 7, 2015",7. Mar.,FT,Full-Time,,,
3,1883633,838440,08.03.2015 02:40,6,1,1425750000000,,7949,1,FC Dallas,FC Dallas,6603,0,San Jose,San Jose Earthquakes,True,True,False,1 - 0,"Mar 7, 2015",7. Mar.,FT,Full-Time,,,
4,1883630,838440,08.03.2015 02:40,6,1,1425750000000,,8259,1,Houston,Houston Dynamo,6001,0,Columbus,Columbus Crew,True,True,False,1 - 0,"Mar 7, 2015",7. Mar.,FT,Full-Time,,,
5,1883632,838440,08.03.2015 04:40,6,1,1425757200000,,307690,0,Portland,Portland Timbers,6606,0,Salt Lake,Real Salt Lake,True,True,False,0 - 0,"Mar 7, 2015",7. Mar.,FT,Full-Time,,,
0,1883627,838440,08.03.2015 22:10,6,1,1425823800000,,267810,1,Orlando,Orlando City,546238,1,NYCFC,New York City FC,True,True,False,1 - 1,"Mar 8, 2015",8. Mar.,FT,Full-Time,,,
1,1883628,838440,09.03.2015 00:15,6,1,1425831300000,,6604,1,Sporting KC,Sporting Kansas City,6514,1,NY Red Bulls,New York Red Bulls,True,True,False,1 - 1,"Mar 8, 2015",8. Mar.,FT,Full-Time,,,
2,1883629,838440,09.03.2015 02:35,6,1,1425839700000,,130394,3,Seattle Sounders,Seattle Sounders FC,6580,0,New England,New England Rev.,True,True,False,3 - 0,"Mar 8, 2015",8. Mar.,FT,Full-Time,,,
0,1894252,838440,14.03.2015 00:05,6,1,1426262700000,,8259,0,Houston,Houston Dynamo,267810,1,Orlando,Orlando City,True,True,False,0 - 1,"Mar 13, 2015",13. Mar.,FT,Full-Time,,,
