,reactKey,timeStr,type,time,overloadTime,profileUrl,overloadTimeStr,isHome,injuredPlayerOut,swap,player.id,player.profileUrl,ownGoal,suffix,isPenaltyShootoutEvent,nameStr,firstName,lastName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,player.name,assistPlayerId,match_id,teamid,card,halfStrShort,eventId
0,56SubstitutionNaN198474false,56,Substitution,56,,/players/NaN/,False,False,False,"[{'name': 'Michael Stephens', 'id': '198474', 'profileUrl': '/players/198474/michael-stephens'}, {'name': 'Matt Watson', 'id': '309553', 'profileUrl': '/players/309553/matt-watson'}]",,/players/undefined/,,,,,,,,,,,,,,1883624,6397.0,,,
1,63SubstitutionNaN621511false,63,Substitution,63,,/players/NaN/,False,False,False,"[{'name': 'Matt Polster', 'id': '621511', 'profileUrl': '/players/621511/matt-polster'}, {'name': 'Chris Ritter', 'id': '534493', 'profileUrl': '/players/534493/chris-ritter'}]",,/players/undefined/,,,,,,,,,,,,,,1883624,6397.0,,,
2,63SubstitutionNaN168717true,63,Substitution,63,,/players/NaN/,False,True,False,"[{'name': 'Baggio Husidic', 'id': '168717', 'profileUrl': '/players/168717/baggio-husidic'}, {'name': 'Kenny Walker', 'id': '307969', 'profileUrl': '/players/307969/kenny-walker'}]",,/players/undefined/,,,,,,,,,,,,,,1883624,6637.0,,,
3,64Goal0undefinedtrue,64,Goal,64,,/players/0/jose-villareal,False,True,,,0.0,/players/0/jose-villareal,,,False,Jose Villareal,Jose,Villareal,0.0,"[1, 0]",,,,Jose Villareal,,1883624,6637.0,,,
4,70SubstitutionNaN70252true,70,Substitution,70,,/players/NaN/,False,True,False,"[{'name': 'Alan Gordon', 'id': '70252', 'profileUrl': '/players/70252/alan-gordon'}, {'name': 'Jose Villareal', 'id': '307968', 'profileUrl': '/players/307968/jose-villareal'}]",,/players/undefined/,,,,,,,,,,,,,,1883624,6637.0,,,
5,71SubstitutionNaN24501false,71,Substitution,71,,/players/NaN/,False,False,False,"[{'name': 'Guilherme Do Prado', 'id': '24501', 'profileUrl': '/players/24501/guilherme-do-prado'}, {'name': 'Kennedy Igboananike', 'id': '169566', 'profileUrl': '/players/169566/kennedy-igboananike'}]",,/players/undefined/,,,,,,,,,,,,,,1883624,6397.0,,,
6,82Goal0undefinedtrue,82,Goal,82,,/players/0/robbie-keane,False,True,,,0.0,/players/0/robbie-keane,,,False,Robbie Keane,Robbie,Keane,0.0,"[2, 0]",,assist by Baggio Husidic,/players/0/baggio-husidic,Robbie Keane,0.0,1883624,6637.0,,,
7,83SubstitutionNaN168189true,83,Substitution,83,,/players/NaN/,False,True,False,"[{'name': 'Adolph Joseph Delagarza', 'id': '168189', 'profileUrl': '/players/168189/adolph-joseph-delagarza'}, {'name': 'Dan Gargan', 'id': '69424', 'profileUrl': '/players/69424/dan-gargan'}]",,/players/undefined/,,,,,,,,,,,,,,1883624,6637.0,,,
0,58Goal0undefinedtrue,58,Goal,58,,/players/0/jairo-arrieta,False,True,,,0.0,/players/0/jairo-arrieta,,,False,Jairo Arrieta,Jairo,Arrieta,0.0,"[1, 0]",,assist by Chris Rolfe,/players/0/chris-rolfe,Jairo Arrieta,0.0,1883625,6602.0,,,
1,66SubstitutionNaN210961true,66,Substitution,66,,/players/NaN/,False,True,False,"[{'name': 'Conor Doyle', 'id': '210961', 'profileUrl': '/players/210961/conor-doyle'}, {'name': 'Chris Pontius', 'id': '168387', 'profileUrl': '/players/168387/chris-pontius'}]",,/players/undefined/,,,,,,,,,,,,,,1883625,6602.0,,,
