,id,usingOptaId,imageUrl,pageUrl,shirt,isHomeTeam,timeSubbedOn,timeSubbedOff,usualPosition,positionRow,role,events,name.firstName,name.lastName,events.sub.subbedOut,match_id,teamid,events.as,events.g,minutesPlayed,shotmap,stats,rating.num,rating.bgcolor,rating.isTop.isTopRating,rating.isTop.isMatchFinished,fantasyScore.bgcolor,teamData.home.id,teamData.home.color,teamData.away.id,teamData.away.color,events.ycrc,events.yc,events.rc,events.og
0,311622,False,https://images.fotmob.com/image_resources/playerimages/311622.png,/players/311622/brian-rowe,12,True,,,0,0,Keeper,,Brian,Rowe,,1883624,6637.0,,,,,,,,,,,,,,,,,,
0,69424,False,https://images.fotmob.com/image_resources/playerimages/69424.png,/players/69424/dan-gargan,33,True,,83.0,1,1,Defender,,Dan,Gargan,83.0,1883624,6637.0,,,,,,,,,,,,,,,,,,
1,168190,False,https://images.fotmob.com/image_resources/playerimages/168190.png,/players/168190/omar-gonzalez,4,True,,,1,1,Defender,,Omar,Gonzalez,,1883624,6637.0,,,,,,,,,,,,,,,,,,
2,198475,False,https://images.fotmob.com/image_resources/playerimages/198475.png,/players/198475/leonardo,22,True,,,1,1,Defender,,,Leonardo,,1883624,6637.0,,,,,,,,,,,,,,,,,,
3,69681,False,https://images.fotmob.com/image_resources/playerimages/69681.png,/players/69681/robbie-rogers,14,True,,,1,1,Defender,,Robbie,Rogers,,1883624,6637.0,,,,,,,,,,,,,,,,,,
0,30438,False,https://images.fotmob.com/image_resources/playerimages/30438.png,/players/30438/stefan-ishizaki,24,True,,,2,3,Midfielder,,Stefan,Ishizaki,,1883624,6637.0,,,,,,,,,,,,,,,,,,
1,198473,False,https://images.fotmob.com/image_resources/playerimages/198473.png,/players/198473/juninho,19,True,,,2,3,Midfielder,,,Juninho,,1883624,6637.0,,,,,,,,,,,,,,,,,,
2,307969,False,https://images.fotmob.com/image_resources/playerimages/307969.png,/players/307969/kenny-walker,34,True,,63.0,2,3,Midfielder,,Kenny,Walker,63.0,1883624,6637.0,,,,,,,,,,,,,,,,,,
3,307968,False,https://images.fotmob.com/image_resources/playerimages/307968.png,/players/307968/jose-villareal,5,True,,70.0,2,3,Midfielder,,Jose,Villareal,70.0,1883624,6637.0,,,,,,,,,,,,,,,,,,
0,24635,False,https://images.fotmob.com/image_resources/playerimages/24635.png,/players/24635/robbie-keane,7,True,,,3,5,Attacker,,Robbie,Keane,,1883624,6637.0,,,,,,,,,,,,,,,,,,
1,431635,False,https://images.fotmob.com/image_resources/playerimages/431635.png,/players/431635/gyasi-zardes,11,True,,,3,5,Attacker,,Gyasi,Zardes,,1883624,6637.0,,,,,,,,,,,,,,,,,,
0,168355,False,https://images.fotmob.com/image_resources/playerimages/168355.png,/players/168355/quincy-amarikwa,24,False,,,3,5,Attacker,,Quincy,Amarikwa,,1883624,6397.0,,,,,,,,,,,,,,,,,,
1,169566,False,https://images.fotmob.com/image_resources/playerimages/169566.png,/players/169566/kennedy-igboananike,77,False,,71.0,3,5,Attacker,,Kennedy,Igboananike,71.0,1883624,6397.0,,,,,,,,,,,,,,,,,,
0,41061,False,https://images.fotmob.com/image_resources/playerimages/41061.png,/players/41061/shaun-maloney,10,False,,,2,4,Midfielder,,Shaun,Maloney,,1883624,6397.0,,,,,,,,,,,,,,,,,,
0,525660,False,https://images.fotmob.com/image_resources/playerimages/525660.png,/players/525660/harrison-shipp,19,False,,,2,3,Midfielder,,Harrison,Shipp,,1883624,6397.0,,,,,,,,,,,,,,,,,,
1,309553,False,https://images.fotmob.com/image_resources/playerimages/309553.png,/players/309553/matt-watson,8,False,,56.0,2,3,Midfielder,,Matt,Watson,56.0,1883624,6397.0,,,,,,,,,,,,,,,,,,
0,534493,False,https://images.fotmob.com/image_resources/playerimages/534493.png,/players/534493/chris-ritter,21,False,,63,2,2,Midfielder,,Chris,Ritter,63.0,1883624,6397.0,,,,,,,,,,,,,,,,,,
0,529758,False,https://images.fotmob.com/image_resources/playerimages/529758.png,/players/529758/joevin-jones,3,False,,,1,1,Defender,,Joevin,Jones,,1883624,6397.0,,,,,,,,,,,,,,,,,,
1,268765,False,https://images.fotmob.com/image_resources/playerimages/268765.png,/players/268765/eric-gehrig,6,False,,,1,1,Defender,,Eric,Gehrig,,1883624,6397.0,,,,,,,,,,,,,,,,,,
2,70282,False,https://images.fotmob.com/image_resources/playerimages/70282.png,/players/70282/jeff-larentowicz,20,False,,,1,1,Defender,,Jeff,Larentowicz,,1883624,6397.0,,,,,,,,,,,,,,,,,,
3,198466,False,https://images.fotmob.com/image_resources/playerimages/198466.png,/players/198466/lovel-palmer,5,False,,,1,1,Defender,,Lovel,Palmer,,1883624,6397.0,,,,,,,,,,,,,,,,,,
0,198426,False,https://images.fotmob.com/image_resources/playerimages/198426.png,/players/198426/sean-johnson,25,False,,,0,0,Keeper,,Sean,Johnson,,1883624,6397.0,,,,,,,,,,,,,,,,,,
0,198455,False,https://images.fotmob.com/image_resources/playerimages/198455.png,/players/198455/bill-hamid,28,True,,,0,0,Keeper,,Bill,Hamid,,1883625,6602.0,,,,,,,,,,,,,,,,,,
0,115972,False,https://images.fotmob.com/image_resources/playerimages/115972.png,/players/115972/sean-franklin,5,True,,,1,1,Defender,,Sean,Franklin,,1883625,6602.0,,,,,,,,,,,,,,,,,,
1,21516,False,https://images.fotmob.com/image_resources/playerimages/21516.png,/players/21516/bobby-boswell,32,True,,,1,1,Defender,,Bobby,Boswell,,1883625,6602.0,,,,,,,,,,,,,,,,,,
2,525675,False,https://images.fotmob.com/image_resources/playerimages/525675.png,/players/525675/steve-birnbaum,15,True,,,1,1,Defender,,Steve,Birnbaum,,1883625,6602.0,,,,,,,,,,,,,,,,,,
3,254973,False,https://images.fotmob.com/image_resources/playerimages/254973.png,/players/254973/christopher-korb,22,True,,,1,1,Defender,,Christopher,Korb,,1883625,6602.0,,,,,,,,,,,,,,,,,,
0,308935,False,https://images.fotmob.com/image_resources/playerimages/308935.png,/players/308935/nick-deleon,14,True,,,2,3,Midfielder,,Nick,DeLeon,,1883625,6602.0,,,,,,,,,,,,,,,,,,
1,254975,False,https://images.fotmob.com/image_resources/playerimages/254975.png,/players/254975/perry-kitchen,23,True,,,2,3,Midfielder,,Perry,Kitchen,,1883625,6602.0,,,,,,,,,,,,,,,,,,
2,69963,False,https://images.fotmob.com/image_resources/playerimages/69963.png,/players/69963/davy-arnaud,8,True,,,2,3,Midfielder,,Davy,Arnaud,,1883625,6602.0,,,,,,,,,,,,,,,,,,
3,21515,False,https://images.fotmob.com/image_resources/playerimages/21515.png,/players/21515/chris-rolfe,18,True,,77.0,2,3,Midfielder,,Chris,Rolfe,77.0,1883625,6602.0,,,,,,,,,,,,,,,,,,
0,51960,False,https://images.fotmob.com/image_resources/playerimages/51960.png,/players/51960/jairo-arrieta,19,True,,90,3,5,Attacker,,Jairo,Arrieta,90.0,1883625,6602.0,,,,,,,,,,,,,,,,,,
1,168387,False,https://images.fotmob.com/image_resources/playerimages/168387.png,/players/168387/chris-pontius,13,True,,66,3,5,Attacker,,Chris,Pontius,66.0,1883625,6602.0,,,,,,,,,,,,,,,,,,
0,198399,False,https://images.fotmob.com/image_resources/playerimages/198399.png,/players/198399/jack-mcinerney,99,False,,71,3,5,Attacker,,Jack,McInerney,71.0,1883625,307692.0,,,,,,,,,,,,,,,,,,
0,198457,False,https://images.fotmob.com/image_resources/playerimages/198457.png,/players/198457/dilly-duka,11,False,,,2,3,Midfielder,,Dilly,Duka,,1883625,307692.0,,,,,,,,,,,,,,,,,,
1,26349,False,https://images.fotmob.com/image_resources/playerimages/26349.png,/players/26349/ignacio-piatti,10,False,,76.0,2,3,Midfielder,,Ignacio,Piatti,76.0,1883625,307692.0,,,,,,,,,,,,,,,,,,
2,49553,False,https://images.fotmob.com/image_resources/playerimages/49553.png,/players/49553/justin-mapp,21,False,,86.0,2,3,Midfielder,,Justin,Mapp,86.0,1883625,307692.0,,,,,,,,,,,,,,,,,,
0,24780,False,https://images.fotmob.com/image_resources/playerimages/24780.png,/players/24780/nigel-reo-coker,14,False,,,2,2,Midfielder,,Nigel,Reo-Coker,,1883625,307692.0,,,,,,,,,,,,,,,,,,
1,308041,False,https://images.fotmob.com/image_resources/playerimages/308041.png,/players/308041/calum-mallace,16,False,,,2,2,Midfielder,,Calum,Mallace,,1883625,307692.0,,,,,,,,,,,,,,,,,,
0,268308,False,https://images.fotmob.com/image_resources/playerimages/268308.png,/players/268308/donny-toia,25,False,,,1,1,Defender,,Donny,Toia,,1883625,307692.0,,,,,,,,,,,,,,,,,,
