,title,stats,type,highlighted,home,away,match_id
0,Ball possession,"[55, 45]",graph,home,55,45,1894343
1,Total shots,"[11, 13]",text,away,11,13,1894343
2,Big chances,"[0, 0]",text,equal,0,0,1894343
3,Big chances missed,"[0, 0]",text,equal,0,0,1894343
4,Accurate passes,"['421 (82%)', '328 (79%)']",text,home,421 (82%),328 (79%),1894343
5,Fouls committed,"[9, 19]",text,home,9,19,1894343
6,Offsides,"[1, 1]",text,equal,1,1,1894343
7,Corners,"[3, 3]",text,equal,3,3,1894343
0,Shots,"[None, None]",title,equal,,,1894343
1,Total shots,"[11, 13]",text,away,11.0,13.0,1894343
2,Shots off target,"[6, 5]",text,home,6.0,5.0,1894343
3,Shots on target,"[3, 5]",text,away,3.0,5.0,1894343
4,Blocked shots,"[2, 3]",text,away,2.0,3.0,1894343
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,1894343
6,Shots inside box,"[7, 4]",text,home,7.0,4.0,1894343
7,Shots outside box,"[4, 9]",text,away,4.0,9.0,1894343
0,Passes,"[None, None]",title,equal,,,1894343
1,Passes,"[512, 417]",text,home,512,417,1894343
2,Accurate passes,"['421 (82%)', '328 (79%)']",text,home,421 (82%),328 (79%),1894343
3,Own half,"[0, 0]",text,equal,0,0,1894343
4,Opposition half,"[185, 209]",text,away,185,209,1894343
5,Accurate long balls,"['43 (63%)', '18 (33%)']",text,home,43 (63%),18 (33%),1894343
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),1894343
7,Throws,"[12, 15]",text,away,12,15,1894343
0,Defence,"[None, None]",title,equal,,,1894343
1,Tackles won,"['12 (92%)', '12 (92%)']",text,equal,12 (92%),12 (92%),1894343
2,Interceptions,"[14, 21]",text,away,14,21,1894343
3,Blocks,"[0, 0]",text,equal,0,0,1894343
4,Clearances,"[16, 22]",text,away,16,22,1894343
5,Keeper saves,"[4, 1]",text,home,4,1,1894343
0,Duels,"[None, None]",title,equal,,,1894343
1,Duels won,"[50, 31]",text,home,50,31,1894343
2,Ground duels won,"['36 (61%)', '23 (39%)']",text,home,36 (61%),23 (39%),1894343
3,Aerial duels won,"['14 (64%)', '8 (36%)']",text,home,14 (64%),8 (36%),1894343
4,Successful dribbles,"['4 (44%)', '3 (50%)']",text,home,4 (44%),3 (50%),1894343
0,Discipline,"[None, None]",title,equal,,,1894343
1,Yellow cards,"[1, 3]",text,away,1.0,3.0,1894343
2,Red cards,"[0, 0]",text,equal,0.0,0.0,1894343
0,Ball possession,"[62, 38]",graph,home,62,38,1894401
1,Total shots,"[13, 15]",text,away,13,15,1894401
2,Big chances,"[3, 0]",text,home,3,0,1894401
3,Big chances missed,"[1, 0]",text,away,1,0,1894401
4,Accurate passes,"['426 (86%)', '238 (79%)']",text,home,426 (86%),238 (79%),1894401
5,Fouls committed,"[23, 14]",text,away,23,14,1894401
6,Offsides,"[6, 3]",text,away,6,3,1894401
7,Corners,"[3, 2]",text,home,3,2,1894401
0,Shots,"[None, None]",title,equal,,,1894401
1,Total shots,"[13, 15]",text,away,13.0,15.0,1894401
2,Shots off target,"[6, 8]",text,away,6.0,8.0,1894401
3,Shots on target,"[6, 4]",text,home,6.0,4.0,1894401
4,Blocked shots,"[1, 3]",text,away,1.0,3.0,1894401
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,1894401
6,Shots inside box,"[10, 9]",text,home,10.0,9.0,1894401
7,Shots outside box,"[3, 6]",text,away,3.0,6.0,1894401
0,Passes,"[None, None]",title,equal,,,1894401
1,Passes,"[497, 302]",text,home,497,302,1894401
2,Accurate passes,"['426 (86%)', '238 (79%)']",text,home,426 (86%),238 (79%),1894401
3,Own half,"[282, 124]",text,home,282,124,1894401
4,Opposition half,"[144, 114]",text,home,144,114,1894401
5,Accurate long balls,"['35 (61%)', '37 (55%)']",text,away,35 (61%),37 (55%),1894401
6,Accurate crosses,"['8 (40%)', '6 (40%)']",text,home,8 (40%),6 (40%),1894401
7,Throws,"[11, 12]",text,away,11,12,1894401
0,Defence,"[None, None]",title,equal,,,1894401
1,Tackles won,"['14 (100%)', '12 (86%)']",text,home,14 (100%),12 (86%),1894401
2,Interceptions,"[16, 19]",text,away,16,19,1894401
3,Blocks,"[0, 0]",text,equal,0,0,1894401
4,Clearances,"[19, 9]",text,home,19,9,1894401
5,Keeper saves,"[3, 3]",text,equal,3,3,1894401
0,Duels,"[None, None]",title,equal,,,1894401
1,Duels won,"[40, 53]",text,away,40,53,1894401
2,Ground duels won,"['26 (41%)', '38 (59%)']",text,away,26 (41%),38 (59%),1894401
3,Aerial duels won,"['14 (48%)', '15 (52%)']",text,away,14 (48%),15 (52%),1894401
4,Successful dribbles,"['1 (25%)', '4 (29%)']",text,away,1 (25%),4 (29%),1894401
0,Discipline,"[None, None]",title,equal,,,1894401
1,Yellow cards,"[2, 1]",text,home,2.0,1.0,1894401
2,Red cards,"[0, 1]",text,away,0.0,1.0,1894401
0,Ball possession,"[63, 37]",graph,home,63,37,2157283
1,Total shots,"[11, 12]",text,away,11,12,2157283
2,Big chances,"[0, 0]",text,equal,0,0,2157283
3,Big chances missed,"[0, 0]",text,equal,0,0,2157283
4,Accurate passes,"['398 (72%)', '191 (58%)']",text,home,398 (72%),191 (58%),2157283
5,Fouls committed,"[12, 12]",text,equal,12,12,2157283
6,Offsides,"[3, 5]",text,home,3,5,2157283
7,Corners,"[2, 4]",text,away,2,4,2157283
0,Shots,"[None, None]",title,equal,,,2157283
1,Total shots,"[11, 12]",text,away,11.0,12.0,2157283
2,Shots off target,"[9, 5]",text,home,9.0,5.0,2157283
3,Shots on target,"[1, 5]",text,away,1.0,5.0,2157283
4,Blocked shots,"[1, 2]",text,away,1.0,2.0,2157283
5,Hit woodwork,"[0, 1]",text,away,0.0,1.0,2157283
6,Shots inside box,"[9, 6]",text,home,9.0,6.0,2157283
7,Shots outside box,"[2, 6]",text,away,2.0,6.0,2157283
0,Passes,"[None, None]",title,equal,,,2157283
1,Passes,"[549, 329]",text,home,549,329,2157283
2,Accurate passes,"['398 (72%)', '191 (58%)']",text,home,398 (72%),191 (58%),2157283
3,Own half,"[0, 0]",text,equal,0,0,2157283
4,Opposition half,"[248, 88]",text,home,248,88,2157283
5,Accurate long balls,"['24 (36%)', '23 (24%)']",text,home,24 (36%),23 (24%),2157283
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2157283
7,Throws,"[20, 10]",text,home,20,10,2157283
0,Defence,"[None, None]",title,equal,,,2157283
1,Tackles won,"['12 (80%)', '17 (71%)']",text,away,12 (80%),17 (71%),2157283
2,Interceptions,"[18, 33]",text,away,18,33,2157283
3,Blocks,"[0, 0]",text,equal,0,0,2157283
4,Clearances,"[12, 20]",text,away,12,20,2157283
5,Keeper saves,"[3, 1]",text,home,3,1,2157283
0,Duels,"[None, None]",title,equal,,,2157283
1,Duels won,"[59, 61]",text,away,59,61,2157283
2,Ground duels won,"['35 (48%)', '38 (52%)']",text,away,35 (48%),38 (52%),2157283
3,Aerial duels won,"['24 (51%)', '23 (49%)']",text,home,24 (51%),23 (49%),2157283
4,Successful dribbles,"['10 (77%)', '4 (50%)']",text,home,10 (77%),4 (50%),2157283
0,Discipline,"[None, None]",title,equal,,,2157283
1,Yellow cards,"[2, 2]",text,equal,2.0,2.0,2157283
2,Red cards,"[0, 0]",text,equal,0.0,0.0,2157283
0,Ball possession,"[39, 61]",graph,away,39,61,2157285
1,Total shots,"[17, 20]",text,away,17,20,2157285
2,Big chances,"[0, 0]",text,equal,0,0,2157285
3,Big chances missed,"[0, 0]",text,equal,0,0,2157285
4,Accurate passes,"['200 (66%)', '392 (78%)']",text,away,200 (66%),392 (78%),2157285
5,Fouls committed,"[12, 9]",text,away,12,9,2157285
6,Offsides,"[7, 1]",text,away,7,1,2157285
7,Corners,"[12, 1]",text,home,12,1,2157285
0,Shots,"[None, None]",title,equal,,,2157285
1,Total shots,"[17, 20]",text,away,17.0,20.0,2157285
2,Shots off target,"[6, 4]",text,home,6.0,4.0,2157285
3,Shots on target,"[9, 10]",text,away,9.0,10.0,2157285
4,Blocked shots,"[2, 6]",text,away,2.0,6.0,2157285
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,2157285
6,Shots inside box,"[15, 10]",text,home,15.0,10.0,2157285
7,Shots outside box,"[2, 10]",text,away,2.0,10.0,2157285
0,Passes,"[None, None]",title,equal,,,2157285
1,Passes,"[304, 500]",text,away,304,500,2157285
2,Accurate passes,"['200 (66%)', '392 (78%)']",text,away,200 (66%),392 (78%),2157285
